Number:,Username:,Score:,Date:,Review:
1,Nihada S.,5.0,2019-07-27,"This place has to be one of the absolute best places in San Jose, if not the Bay Area. The food is so damn good, it really doesn't compare to anything else. There are some cons to this place, but the foods so good I'm keeping the review at 5 stars. 
Cons: sketchy area, located in a little liquor store, I love the salsa but I can see it being too hot for some people, cash only, a lil pricey
Regardless, this place is deserves the 5 stars"
2,Brian D.,4.0,2019-07-11,"It's in a convenience store 
The guy makes pretty good food
See my photos 
The tacos are super cheap and you do get avocado  and cilantro fit like $2!
The store has Hemp cola!
And Real Pepsi and Coke from Mexico in glass bottles
The quesadilla was only so so 
The burrito was gigantic! ( pics included)
I mean it could pass as a baby in a blanket big!!  
I will go back as my friend runs a business a block away! The cops like it too!"
3,Eric W.,4.0,2019-02-26,"It's the unexpected places is when you discover something delicious.  Imperio Taqueria is no exception, located inside a liquor store is a hole in the wall that serves some delicious tacos .  

Was working in the area and boyz mentioned the shrimp taco is worth checking out.  The shrimp is made fresh to order.  Each taco contains 3 grill shrimp loaded with grill onions and cheese.  Add some lime and hot sauce, you got  yourself some good tacos that will have you coming back.

Located right across from the Delmas VTA lightrail station. Street parking only.  This place is cash only."
4,Melissa E.,5.0,2019-07-04,"I've been going here for the last four years! They have really good tacos and burritos!   Antonio is very clean while cooking,washing his hands in between each customer! And the salsa is off the hook!! I work close by so it's very convenient for lunch!!"
5,Chris S.,5.0,2018-11-05,"4 and a half stars, located inside of a convenience store, on the ""wrong"" side of the highway, cash only...everything added up to this being an amazing Mexican place, and it totally was.

Sure, maybe it's just that they fry everything (presumably in distilled deliciousness), but damn is it good. I got the burrito and the quesadilla and man oh man, those were some fantastic foods. They were out of chorizo (I can only imagine how good that must be), so I went with suadero (brisket) and el pastor.

I think my favorite was the qusadilla which is crazy in that I'm usually not a huge fan of them, but the favor was an explosion of awesome.

The salsa is also really good; it's definitely spicy, too. Don't forget to ask for extra.

Although the variety might not be here compared to some other mexican restaurants (and vegetables are few and far between), this might be one of my favorite Mexican places ever.

The biggest issue is that the parking in this neighborhood is ""permit only"" ""at all times"" which kinda sucks. I guess your choices are to brave it and hope, to pay for parking nearby (SAP center stuff?), or to uber in? Not sure. I know it's not their fault but it's still annoying.

I'll happily return here and risk being towed anytime :) (well, not during an event at the arena because I'm sure they actually do check parking then)"
6,Brian S.,5.0,2019-04-10,"This taco place is LEGIT! If you are looking for truly authentic tacos, head to this hole-in-the-wall taqueria that's inside of a convenience store close to downtown San Jose and the SAP Center. Everything about their tacos are perfect, from the perfectly seasoned and grilled meats, to the cilantro and grilled onions, to the amazing salsas, to the pickled jalapeños. The prices are also right at $2.25 each, and service is super fast. They have other Mexican favorites as well, but I can't get past how yummy the tacos are to try any of them!"
7,Jeff F.,3.0,2019-01-10,"Don't understand the hype. Carna Asada was the best of the three tacos I had but not worth a return visit. Pollo and carnitas were a miss

Did love that this place was in a grocery store"
8,Giao L.,5.0,2018-03-05,"Why am I just discovering you now??

This place is the epitome of a hidden gem. I've driven by multiple times but never realized there was a taqueria inside their corner liquor store. In two weeks since discovering this place, I've been here 3 times. The employees behind the counter have always been friendly and, even though the woman that works the weekend shift doesn't seem to speak English, she completely understood my order (I know zero Spanish) and was friendly throughout. 

THE MEAT. Don't get me started on the al pastor. It is so tender and delicious, it's what's been bringing me back. I had both the al pastor taco and burrito. The taco was good, but whatever sauce they put on it is SPICE-Y. It hurt so good. But for the sake of my body, I'll probably ask them to skip that sauce in the future. The burrito is huuuge and stuffed with goodness--all for $9. My BF and I split one and that was the perfect amount for the both of us. Can't wait to come back and try the shrimp burrito everyone is raving about."
9,Osvaldo M.,5.0,2019-06-04,"Well deserved ratings. This is authentic Mexican food so the salsa might be too spicy for those who are not used to it. Taqueria is on point, the liquor store not so much."
10,Fonz C.,5.0,2019-02-02,"Great food, very friendly people and good service. 
I recommend this hole on the wall at any time."
11,Yoon C.,4.0,2018-04-19,"Uh...food is good but the place was sketchy when we went. There is NO SEATING and if you go during night time there might be some sketchy people outside......  There was only one worker who seemed to be bored because there wasn't any customer. But this might be due to the time we went. Usually I'm not too comfortable with a place with 0 customers because food is just sitting there. 

However. I suggest if you are already close by give it a try. But I wouldn't go out of my way to drive here to eat."
12,Emily X.,4.0,2018-04-13,"My hubs and I wanted to try a different taco place from our usual location (Spartan taco). We looked on Yelp and saw this and decided to give it a try. Not gonna lie at first I was a little sketch bc it was located inside of a liquor store. Walked in and no one was there. The lady who worked in front that night looked kinda mad, did not smile. 
Regardless we ordered 3 lengua and 3 pastor tacos. 

Lengua: 3/5 not the best lengua I've had. Honestly Seattle set my bars so high for lengua that I cant seem to find a place that makes lengua tacos as good as Seattle. The meat was chewy and I literally felt like I was chewing on tongue. Go figure since lengua is tongue. But the lengua I had in Seattle was crispy, fatty, and melted in the mouth. This is was just chewy. 

Al pastor: 4/5 so glad this one saved me! Full of flavor and she really gave you a lot of meat. There was a lot more liquid than I'm used to and maybe it's because they keep their meats already cooked and in a warmer tub."
13,Jaime D.,5.0,2018-02-09,"I can't believe i just discovered this place, simply delicious. It's tough sometimes to find a juicy burrito, but this place has it. The meats tender and juicy with thick slices of avocado. 

I'm simply in love! Cash only doe."
14,Lan T.,4.0,2018-07-11,"The shrimp burrito is real.  I'm guessing they use medium-sized shrimp (not the small mini type).  You also get quite a few pieces of shrimp in the burrito.  If you can get over the odd location, I highly recommend checking this place out.  Also, it's cash only!"
15,Ray B.,4.0,2018-04-16,"Did not except a great burrito from the shady convenient store on the corner-right down the street from the San Jose Caltrain station.
It's the classic ""I passed this place this place a million times"" and never thought to get food here. 
I had one of those back to back meeting days and all the places I would normally go were too far away.
I walked over to grab some lunch and was pleasantly surprised by the quality and taste of the food.
I went a 2nd time and I had no choice but to give I.T. another star. The food was just as good as it was the first time. 

BB"
16,Ali M.,4.0,2016-06-30,"Yummy tacos for super cheap! Located inside the Delmas Market on the corner of Delmas and San Fernando in downtown SJ. This place is within walking distance from my work so my coworkers and I frequent it pretty often. The staff is friendly, food is yummy and inexpensive and the kitchen looks really clean. You can call ahead and pre-order so that you do not have to wait if you are on your lunch. I usually get the tacos but I have also tried the quesadilla and it was good too. 

Only downside is that it is cash only, as most taquerias are. They do have an atm inside the market though just in case you need it. If you are in the area and craving some tacos I would recommend you stop by and give them a try!"
